"","ELEC_DATE","CITY","DISTRICT","ELEC_PARTY","ELEC_ELECTED","ELEC_TURNOUT","identical"
"1",1993-04-23,"부산시","사하구","민주자유당","박종웅",42.1,0
"2",1993-04-23,"경기도","광명시","민주자유당","손학규",41.2,0
"3",1993-06-11,"강원도","명주양양군","민주당","최욱철",68.5,0
"4",1993-08-12,"대구시","동구을","무소속","서훈",60.2,0
"5",1993-08-12,"강원도","춘천시","민주자유당","유종수",58.5,0
"6",1994-08-02,"대구시","수성갑","신민당","현경자",46.3,0
"7",1994-08-02,"경상북도","경주시","민주당","이상두",49.7,0
"8",1997-07-24,"충청남도","예산군","신한국당","오장섭",68.5,0
"9",1998-04-02,"부산시","서구","한나라당","정문화",45.7,0
"10",1998-04-02,"대구시","달성군","한나라당","박근혜",59.4,0
"11",1998-04-02,"경상북도","문경시예천군","한나라당","신영국",66.3,0
"12",1998-04-02,"경상북도","의성군","한나라당","정창화",73.9,0
"13",1998-07-21,"서울시","종로구","새정치국민회의","노무현",33.7,0
"14",1998-07-21,"서울시","서초구갑","한나라당","박원홍",37.6,0
"15",1998-07-21,"부산시","해운대구기장군을","자유민주연합","김동주",58.3,0
"16",1998-07-21,"대구시","북구갑","한나라당","박승국",39.8,0
"17",1998-07-21,"경기도","수원시팔달구","한나라당","남경필",26.2,0
"18",1998-07-21,"경기도","광명시을","새정치국민회의","조세형",50.8,0
"19",1998-07-21,"강원도","강릉시을","한나라당","조순",54.6,0
"20",1999-03-30,"서울시","구로구을","새정치국민회의","한광옥",40.8,0
"21",1999-03-30,"경기도","시흥시","자유민주연합","김의재",32.2,0
"22",1999-06-03,"서울시","송파구갑","한나라당","이회창",46.4,0
"23",1999-06-03,"인천시","계양구강화군갑","한나라당","안상수",35.2,0
"24",2001-10-25,"서울시","구로구을","한나라당","이승철",39.4,0
"25",2002-08-08,"서울시","금천구","한나라당","이우재",24.3,0
"26",2002-08-08,"서울시","영등포을","한나라당","권영세",24,0
"27",2002-08-08,"인천시","서구 강화군을","한나라당","이경재",34,0
"28",2002-08-08,"경기도","안성시","한나라당","이해구",43.5,0
"29",2002-08-08,"제주시","북제주군","한나라당","양정규",57.6,0
"30",2003-04-24,"서울시","양천구을","한나라당","오경훈",26.4,0
"31",2003-04-24,"경기도","의정부시","한나라당","홍문종",26,0
"32",2003-04-24,"경기도","고양시덕양구갑","개혁당(개혁국민정당)","유시민",25.6,0
"33",2005-04-30,"경기도","성남시중원구","한나라당","신상진",29.1,0
"34",2005-04-30,"경기도","포천시연천군","한나라당","고조흥",38.1,0
"35",2005-04-30,"충청남도","공주시연기군","무소속","정진석",37.9,0
"36",2005-04-30,"충청남도","아산시","한나라당","이진구",32,0
"37",2005-04-30,"경상남도","김해시갑","한나라당","김정권",34.2,0
"38",2005-10-26,"울산시","북구","한나라당","윤두환",53.2,0
"39",2005-10-26,"경기도","부천시원미구갑","한나라당","임해규",28.9,0
"40",2006-07-26,"서울시","성북구을","민주당","조순형",28.9,0
"41",2006-10-25,"인천시","남동구을","한나라당","이원복",24.7,0
"42",2006-10-25,"전라남도","해남진도","민주당","채일병",40.5,0
"43",2007-04-25,"대전시","서구을","국민중심당","심대평",34.6,0
"44",2007-04-25,"경기도","화성시","한나라당","고희선",19.3,0
"45",2007-04-25,"전라남도","무안신안","민주당","김홍업",54.4,0
"46",2009-04-29,"인천시","부평구을","민주당","홍영표",29.1,0
"47",2009-04-29,"울산시","북구","진보신당","조승수",46.7,0
"48",2009-04-29,"전라북도","전주시덕진구","무소속","정동영",38.4,0
"49",2009-04-29,"경상북도","경주시","무소속","정수성",53.8,0
